"","Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (<U+00A3>)","Payscale Maximum (<U+00A3>)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"1087","Department for Education","Department for Education ","Infrastructure and Funding Directorate ","DFE-1121","Grade 7",45300,57222,"Senior Statistician",0.81,"Statisticians"
"1088","Department for Education","Department for Education ","Infrastructure and Funding Directorate ","DFE-1121","Grade 7",45300,57222,"Senior Operational Researcher",5.58,"Operational Research"
"1089","Department for Education","Department for Education ","Infrastructure and Funding Directorate ","DFE-1121","SEO",33200,49008,"Analyst",1,"Statisticians"
"1090","Department for Education","Department for Education ","Infrastructure and Funding Directorate ","DFE-1121","SEO",33200,49008,"Analyst",3.22,"Operational Research"
"1091","Department for Education","Department for Education ","Infrastructure and Funding Directorate ","DFE-1121","EO",21916,32232,"Analyst",2,"Statisticians"
"1092","Department for Education","Department for Education ","Infrastructure and Funding Directorate ","DFE-1121","HEO",25000,40828,"Operational Researcher",5.21,"Operational Research"
"1093","Department for Education","Department for Education ","Infrastructure and Funding Directorate ","DFE-1121","HEO",25000,40828,"Analyst",2,"Statisticians"
"1094","Department for Education","Department for Education ","Infrastructure and Funding Directorate ","DFE-1121","SEO",33200,49008,"Senior Statistician",1,"Statisticians"
"1095","Department for Education","Department for Education ","Infrastructure and Funding Directorate ","DFE-1121","HEO",25000,40828,"Statistician",3,"Statisticians"
"1096","Department for Education","Department for Education ","Infrastructure and Funding Directorate ","DFE-1121","HEO",25000,40828,"Analyst",3,"Economics"
"1097","Department for Education","Department for Education ","Infrastructure and Funding Directorate ","DFE-1121","Grade 6",55431,69187,"Senior Operational Researcher",2,"Social Research"
"1098","Department for Education","Department for Education ","Infrastructure and Funding Directorate ","DFE-1121","Grade 7",45300,57222,"Senior Economist",1,"Economics"
"1099","Department for Education","Department for Education ","Infrastructure and Funding Directorate ","DFE-1121","EO",21916,32232,"Office Manager",1,"Policy"
"1100","Department for Education","Department for Education ","Infrastructure and Funding Directorate ","DFE-1121","SEO",33200,49008,"Senior Operational Researcher",5.68,"Operational Research"
"1101","Department for Education","Department for Education ","Infrastructure and Funding Directorate ","DFE-1121","EO",21916,32232,"Operational Researcher",1,"Operational Research"
"1102","Department for Education","Department for Education ","Infrastructure and Funding Directorate ","DFE-1121","HEO",25000,40828,"Analyst",1,"Statisticians"
"1103","Department for Education","Department for Education ","Infrastructure and Funding Directorate ","DFE-1121","Grade 6",55431,69187,"Statistician",0.83,"Statisticians"
"1104","Department for Education","Department for Education ","Infrastructure and Funding Directorate ","DFE-1121","HEO",25000,40828,"Economist",1,"Economics"
"1105","Department for Education","Department for Education ","Accounting Officer and Chief Policy Non-Political Policy Advisor to the Secretary of State","DFE-1001","EA/AO",15266,24858,"Legal Support Officer",1,"Policy"
"1106","Department for Education","Department for Education ","Accounting Officer and Chief Policy Non-Political Policy Advisor to the Secretary of State","DFE-1001","Grade 6",55431,69187,"Senior Legal Adviser",2,"Law"
"1107","Department for Education","Department for Education ","Accounting Officer and Chief Policy Non-Political Policy Advisor to the Secretary of State","DFE-1001","HEO",25000,40828,"Legal Support Officer",1,"Policy"
"1108","Department for Education","Department for Education ","Accounting Officer and Chief Policy Non-Political Policy Advisor to the Secretary of State","DFE-1001","EO",21916,32232,"Legal Support Officer",1,"Policy"
"1109","Department for Education","Department for Education ","Secretary of State's Office","DFE-1128","EO",21916,32232,"Diary Manager",5,"Policy"
"1110","Department for Education","Department for Education ","Secretary of State's Office","DFE-1128","HEO",25000,40828,"Private Secretary",8,"Policy"
"1111","Department for Education","Department for Education ","Secretary of State's Office","DFE-1128","EO",21916,32232,"Generalist",12,"Other"
"1112","Department for Education","Department for Education ","Secretary of State's Office","DFE-1128","EA/AO",15266,24858,"Executive Assistant",5,"Operational Delivery"
"1113","Department for Education","Department for Education ","Secretary of State's Office","DFE-1128","EA/AO",15266,24858,"Generalist",1,"Policy"
"1114","Department for Education","Department for Education ","Secretary of State's Office","DFE-1128","EO",21916,32232,"Operations Support Officer",3,"Policy"
"1115","Department for Education","Department for Education ","Secretary of State's Office","DFE-1128","HEO",25000,40828,"Office Manager",2,"Policy"
"1116","Department for Education","Department for Education ","Secretary of State's Office","DFE-1128","HEO",25000,40828,"Correspondence Manager",9,"Policy"
"1117","Department for Education","Department for Education ","Secretary of State's Office","DFE-1128","Grade 7",45300,57222,"Senior Correspondence Manager",3,"Policy"
"1118","Department for Education","Department for Education ","Secretary of State's Office","DFE-1128","EA/AO",15266,24858,"Communications Support Officer",3.69,"Policy"
"1119","Department for Education","Department for Education ","Secretary of State's Office","DFE-1128","SEO",33200,49008,"Correspondence Manager",4,"Policy"
"1120","Department for Education","Department for Education ","Secretary of State's Office","DFE-1128","EO",21916,32232,"Communications Support Officer",2,"Policy"
"1121","Department for Education","Department for Education ","Secretary of State's Office","DFE-1128","Grade 6",55431,69187,"Senior Correspondence Manager",1,"Other"
"1122","Department for Education","Department for Education ","Secretary of State's Office","DFE-1128","EO",21916,32232,"Operational Manager",1,"Policy"
"1123","Department for Education","Department for Education ","Secretary of State's Office","DFE-1128","EA/AO",15266,24858,"Operations Support Officer",2.8,"Policy"
"1124","Department for Education","Department for Education ","Secretary of State's Office","DFE-1128","SEO",33200,49008,"Office Manager",1,"Policy"
"1125","Department for Education","Department for Education ","Secretary of State's Office","DFE-1128","Grade 7",45300,57222,"Private Secretary",1,"Policy"
"1126","Department for Education","Department for Education ","Secretary of State's Office","DFE-1128","Grade 6",55431,69187,"Private Secretary",2,"Policy"
"1127","Department for Education","Department for Education ","Education Strategy Performance Analysis Group","DFE-1033","HEO",25000,40828,"Policy Adviser",4,"Other"
"1128","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1134","Grade 6",55431,69187,"Senior Statistician",1,"Statisticians"
"1129","Department for Education","Education Funding Agency","Education Funding Agency","DFE-1134","SEO",33200,49008,"Statistical Support Officer",1,"Statisticians"
"1130","Department for Education","Department for Education ","Strategy and Performance Group ","DFE-1015","SEO",33200,49008,"Generalist",3,"Policy"
"1131","Department for Education","Department for Education ","Strategy and Performance Group ","DFE-1015","Grade 6",55431,69187,"Generalist",5.56,"Policy"
"1132","Department for Education","Department for Education ","Strategy and Performance Group ","DFE-1015","EO",21916,32232,"Generalist",2,"Policy"
"1133","Department for Education","Department for Education ","Strategy and Performance Group ","DFE-1015","Grade 7",45300,57222,"Generalist",6,"Policy"
"1134","Department for Education","Department for Education ","Strategy and Performance Group ","DFE-1132","HEO",25000,40828,"Generalist",2,"Policy"
"1135","Department for Education","Department for Education ","Strategy and Performance Group ","DFE-1132","EA/AO",15266,24858,"Executive Assistant",1,"Policy"
"1136","Department for Education","Department for Education ","Strategy and Performance Group ","DFE-1015","EO",21916,32232,"Personal Assistant",0.81,"Policy"
"1137","Department for Education","Department for Education ","Strategy and Performance Group ","DFE-1015","HEO",25000,40828,"Generalist",1,"Policy"
"1138","Department for Education","Department for Education ","Strategy and Performance Group ","DFE-1132","Grade 7",45300,57222,"Generalist",6.48,"Policy"
"1139","Department for Education","Department for Education ","Strategy and Performance Group ","DFE-1132","EO",21916,32232,"Generalist",1,"Policy"
"1140","Department for Education","Department for Education ","Strategy and Performance Group ","DFE-1132","Grade 6",55431,69187,"Generalist",1.9,"Policy"
"1141","Department for Education","Department for Education ","Strategy and Performance Group ","DFE-1132","SEO",33200,49008,"Generalist",1,"Policy"
"1142","Department for Education","Department for Education ","Education Strategy Performance Analysis Group","DFE-1033","EA/AO",15266,24858,"Programme Support Officer",1,"Policy"
"1143","Department for Education","Department for Education ","Education Strategy Performance Analysis Group","DFE-1033","Grade 6",55431,69187,"Programme Manager",1,"Programme and Project Management (PPM)"
"1144","Department for Education","Department for Education ","Education Strategy Performance Analysis Group","DFE-1033","Grade 7",45300,57222,"Policy Support Officer",4,"Policy"
"1145","Department for Education","Department for Education ","Chief Information Officer Group","DFE-1022","Grade 7",45300,57222,"Senior Security officer",3,"Property and asset management"
"1146","Department for Education","Department for Education ","Education Strategy Performance Analysis Group","DFE-1033","HEO",25000,40828,"Programme Support Officer",1,"Programme and Project Management (PPM)"
"1147","Department for Education","Department for Education ","Chief Information Officer Group","DFE-1022","HEO",25000,40828,"Security Officer",2,"Property and asset management"
"1148","Department for Education","Department for Education ","Education Strategy Performance Analysis Group","DFE-1033","SEO",33200,49008,"Policy Adviser",1,"Policy"
"1149","Department for Education","Teaching Agency ","Teaching Agency ","DFE-1186","SEO",33200,49008,"Generalist",3,"Other"
"1150","Department for Education","Department for Education ","Education Strategy Performance Analysis Group","DFE-1033","HEO",25000,40828,"Policy Support Officer",3,"Policy"
